name|author|description|img
Conan|Aoyama Gōshō|một bộ manga Nhật Bản dành cho lứa tuổi thiếu niên thuộc thể loại trinh thám|https://newshop.vn/public/uploads/products/18736/tham-tu-lung-danh-conan-tap-70-bia-truoc.jpg
Doraemon|Fujiko Fujio|một bộ manga Nhật Bản dành cho lứa tuổi thiếu nhi thuộc thể loại hài hước|https://pibook.vn/uploads/products/49362_05_09_15_doraemon-tap-10.jpg
InuYasha|Rumiko Takahashi|một bộ manga Nhật Bản dành cho lứa tuổi thiếu niên thuộc thể loại kỳ ảo|https://cdn0.fahasa.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/n/inuyasha-12.jpg
